organisation,address,name
Pratibha Syntex,BT BATOK ST 21,Laremy Lee
VISION,CHOA CHU KANG CTRL,Lee Leng Chong
Romsons Group Of Industr...,CLEMENTI AVE 6,Lee Leng Kiong
T.G.I. Friday's,HOUGANG ST 21,Lee Leong Sze
Core Integra Consulting ...,JURONG EAST ST 21,Lee Li Hui
Fosroc Chemicals India,MARSILING DR,Lee Li Lian
Xceedance,PASIR RIS ST 21,Lee Lim
Cargo Service Center Ind...,PETIR RD,Lee Lin Chiu
Continental Hospitals,SERANGOON CTRL,Lee Ling Yen
Microlink Solutions,TAMPINES ST 21,Madeleine Lee
Sciformix Technologies,TOA PAYOH NTH,Maia Lee
Sanmarg Projects,WOODLEIGH LINK,Lee Man Fong
Sleek International,YISHUN ST 21,Mark Lee
Maharishi Vidya Mandir,COMPASSVALE LANE,Marrie Lee
Touchstone Educationals,PUNGGOL FIELD,Lee Mei Yi
Azure Hospitality,COMPASSVALE LANE,Melanie Lee
Rail Vikas Nigam,COMPASSVALE LANE,Michael Lee Hong Hwee
ZIM Laboratories,COMPASSVALE LANE,Lee Ngak Siang (Dr)
Nandi Toyota Motor World,ANG MO KIO AVE 1,Lee Ngoh Wah
Can-Pack,BEDOK NTH ST 1,Olivia Lee
Magic Bus India Foundati...,BISHAN ST 23,Lee Pan Hon
SSEM,BOON LAY DR,Patrick Lee Kwok Kie
Apcer Pharma India,BT BATOK ST 21,Paul Lee Wei Song
Hyderabad Metro Rail,CHOA CHU KANG CTRL,Lee Peh Gee
ADRA,CLEMENTI AVE 6,Lee Pei Fen
Hurix Systems,HOUGANG ST 21,Lee Peng Shu
Hitachi Home & Life Solu...,JURONG EAST ST 21,Peter Lee
Property Solutions,MARSILING DR,Peter Lee
Accelya Solutions India ...,PASIR RIS ST 21,Peter Lee
Miracle Software Systems,PETIR RD,Philip Lee Fook Chuen
Green Park Hotels,SERANGOON CTRL,Lee Poh Yan
Zee Learn,TAMPINES ST 21,Rena Lee
ETA ASCON Group,TOA PAYOH NTH,Rex Lee
Food Corporation of Indi...,WOODLEIGH LINK,Russell Lee
Tops Security,YISHUN ST 21,Samuel Lee
Becton Dickinson,BOON LAY DR,Sean Lee
T R Chadha & Co Llp,COMPASSVALE LANE,Lee See Sin
Ganges Internationale,PUNGGOL PL,Lee Seiu Kin
Prism Johnson,WOODLEIGH LINK,Lee Seng Gee
Super Auto India,COMPASSVALE LANE,Lee Seng Huat
AISECT,WOODLEIGH LINK,Lee Seng Tee
Country Club Hospitality...,COMPASSVALE LANE,Lee Seng Wee
Carrier Midea,WOODLEIGH LINK,Lee Seow Hiang
Silverskills,COMPASSVALE LANE,Lee Seow Ser
MEDOPHARM,WOODLEIGH LINK,Lee Shao Meng
Hindustan Latex Family P...,COMPASSVALE LANE,Lee Sheng Yi
Bharathi Cement,ANG MO KIO AVE 1,Sher Lee
XSEED Education,BISHAN ST 23,Shermay Lee
Jubilant Agri and Consum...,BOON LAY PL,Lee Shu Fen @ Sheh Yu Xiu
Logicash,BT BATOK ST 21,Lee Siew Choh
Hardcastle Restaurants,CHOA CHU KANG CTRL,Lee Siok Tin
Systopic Laboratories,CLEMENTI AVE 6,Lee Siow Mong
Alghanim International,COMPASSVALE LANE,Lee Soo Ann
SBFC,HOUGANG ST 21,Lee Soo Chee
Bank Muscat,JURONG EAST ST 21,Lee Soon Guan
Career Launcher,PASIR RIS ST 21,Stephen Lee
Pramati Technologies,PETIR RD,Father Stephen Lee
Confederation of Indian ...,PUNGGOL PL,Steven Lee
NetAmbit,SERANGOON CTRL,Steven Lee Joo Kang
US Tech Solutions,TAMPINES ST 21,Lee Su Kim
Cheers Interactive,TOA PAYOH NTH,Lee Su Shyan
Kellton Tech Solutions,WOODLEIGH LINK,Lee Suan Hiang
Carraro,YISHUN ST 21,Lee Suan Yew
Cameo Corporate Services,ANG MO KIO AVE 6,Lee Suet Fern
Indian Steel Corporation,BISHAN ST 23,Lee Sze-Chin
Aspiring Minds,BOON LAY PL,Lee Teck Guan
Enmas O & M Services,COMPASSVALE LANE,Lee Teck Him
Piramal Glass,PASIR RIS ST 21,Lee Tee Song
Kalyani Motors,PUNGGOL PL,Lee Tee Tong
Lanxess,WOODLEIGH LINK,Lee Thean-jeen
Western Refrigeration,COMPASSVALE LANE,Lee Tiah Khee
Casagrand,PUNGGOL PL,Lee Ting Hui
New Allenberry Works,WOODLEIGH LINK,Tjin Lee
MTR Foods,COMPASSVALE LANE,Dr Lee Tsao Yuan
SMEC,PUNGGOL PL,Lee Tzu Pheng
Allianz Technology,WOODLEIGH LINK,Lee Tzu Yang
Alkyl Amines,COMPASSVALE LANE,Viency Lee
Navigant Bpm,PUNGGOL PL,Lee Wai Leng
BKT Tyres,WOODLEIGH LINK,Warren Lee Wei Rhen
L&t- Mhps Boilers,ANG MO KIO AVE 1,Lee Wee Nam
JCT,BISHAN ST 23,Lee Wei Lieh
Vipul MedCorp TPA,BOON LAY PL,Lee Wei Ling
Acute Informatics,BT BATOK ST 21,Lee Wen
KRBL,CHOA CHU KANG CTRL,Wen-yi Lee
SUZUKI MOTOR GUJARAT,CLEMENTI AVE 6,Lee Weng Choy
Bombay Hospital,COMPASSVALE LANE,Willard Lee
Shadowfax Technologies,HOUGANG ST 21,William Lee Siew Choon
Solartis Technology Serv...,JURONG EAST ST 21,Lee Wing Sang
CETPA InfoTech,NEW UPP CHANGI RD,Lee Wung Yew
Sun Knowledge,PASIR RIS ST 21,Lee Xin Li
Pitambari Products,PETIR RD,Lee Yee Sing
Aster mims,PUNGGOL PL,Lee Yi Shyan
Mahavir Die Casters,SERANGOON CTRL,Lee Yiok Seng
Pyro Group,TAMPINES ST 21,Lee Yock Suan
Kanpur Fertilizers and C...,TOA PAYOH NTH,Lee Yong Kiat
Bharti Foundation,WOODLEIGH LINK,Lee Yong Leng
ICICI Foundation for Inc...,YISHUN ST 21,Lee Yuk Chuan
Vidya Mandir Classes,BOON LAY PL,Zach Lee
Eptisa,CLEMENTI AVE 6,Harold Francis Geoffrey Leembruggen
Jana Bank,COMPASSVALE LANE,Jose Legaspi
Best Sellers,NEW UPP CHANGI RD,Lei Yuan Bin
Damco Solutions,PUNGGOL PL,Leng Joon Wong
Reliance HR Services,TAMPINES AVE 2,Alan Lennox-Boyd
DDB Mudra Group,WOODLEIGH LINK,David Leo
Cardekho.com,COMPASSVALE LANE,Leo Hee Tong
Espire Infolabs,CLEMENTI AVE 6,James Leo
Primus Global Technologi...,NEW UPP CHANGI RD,Leo Yee Sin
TechnipFMC,PUNGGOL PL,Leong Chee Chiew
Rohan Motors,CLEMENTI AVE 6,Leong Chee Mun
Rusan Pharma,NEW UPP CHANGI RD,Leong Chee Shan
LuLu Group International,PUNGGOL PL,Leong Chee Whye
Sindhu Cargo Services,CLEMENTI AVE 6,Datuk Leong Chee Woh
Vadilal Industries,NEW UPP CHANGI RD,Dawn-joy Leong
Godrej Appliances,ANG MO KIO AVE 3,Leong Foke Meng
Pierian Services,BISHAN ST 23,Francis K. W. Leong
Tractebel,BOON LAY PL,Genevieve Leong
Intelux Electronics,BT BATOK ST 21,Leong Heng Keng
Charak Pharma,CHOA CHU KANG CTRL,Leong Hoe Nam
Population Services Inte...,COMPASSVALE LANE,Leong Horn Kee
Four Seasons Hotel,HOUGANG ST 21,Hossan Leong
Futuresoft Solutions,JURONG EAST ST 21,James Leong
Future Consumer,NEW UPP CHANGI RD,Jane Leong
Star Wire India,PASIR RIS ST 21,Leong Kam Huan
Brink's,PETIR RD,Leong Kwok Peng
Sukhbir Agro Energy,PUNGGOL PL,Leong Liew Geok
Rajiv Gandhi Cancer Inst...,SERANGOON CTRL,Lucy Leong
Zydus Hospital,TAMPINES ST 21,Margaret Leong
Geetanjali Medical Colle...,TOA PAYOH NTH,Leong Mun Wai
NC Technologies,YISHUN ST 21,Leong Nyet Chin
Toyo Engineeering,BOON LAY PL,Raymond Leong Kum Hon
Aditya Birla Money,CLEMENTI AVE 6,Robin Leong
ACS,COMPASSVALE LANE,Sam Leong
Einfochips,PUNGGOL PL,Leong Siew Tien
Datamatics Financial Ser...,CLEMENTI AVE 6,Stephen Leong Chun Hong
Emirates Airlines,COMPASSVALE LANE,Leong Weng Kam
Chennai Petroleum Corpor...,PUNGGOL PL,Leong Yee Soo
People Tech Group,COMPASSVALE LANE,Leong Yoon Pin
"Medical College, Kolkata",PUNGGOL PL,Leow Siak Fah
Compuage Infocom,BALAM RD,Vincent Leow
Travelex,BEDOK STH RD,Leow Wei Li
Call 2 Connect,CHAI CHEE RD,Ler Hock Chuan
Hindustan Pencils,DOVER CRES,Leu Yew Chye
Super Auto Forge,EUNOS CRES,Alfred Leung
BMW,GHIM MOH RD,Charmaine Leung
Lucas Indian Service,HAIG RD,Jereme Leung
ArcGate,HOLLAND DR,Leung Yun Chee
GD Research Center,HOUGANG AVE 3,Richard C. Levin
FUJIFILM,JLN MEMBINA,Arieh Levy
Accurate Engineering Cor...,JLN TENTERAM,Lew Bon Hoi
C DOT,JOO SENG RD,Lew Chee Beng
Rasna,LIM LIAK ST,Lionel Lewis
RR kabel,LOR 7 TOA PAYOH,Pericles Lewis
IDMC,LOR 3 GEYLANG,Leyla Shuri
Rainbow Hospital,MARSILING LANE,Li Bao Shun
Mol Information Processi...,OLD AIRPORT RD,Li Chuan
Sunshine Hospitals,QUEEN'S CL,Daryl Li
Qatargas,ST. GEORGE'S RD,Forrest Li
INDIAN PUBLIC SCHOOL,TEBAN GDNS RD,Li Guo
The Body Shop,TELOK BLANGAH CRES,Li Jiawei
Aksh Optifibre,TOH YI DR,Li Li
Toshiba Transmission & D...,CHAI CHEE RD,Li Lienfung
Dixit Infotech Services,TELOK BLANGAH CRES,Li Ling Yung
Neogrowth Credit,TEBAN GDNS RD,Li Nanxing
Globtier Infotech,ANG MO KIO AVE 3,Li Qingsong
Gerdau Steel India,BISHAN ST 23,Li Rulin
Enco Engineers Combine,BOON LAY PL,Li Xueling
AL JABER GROUP,BT BATOK ST 21,Li Yeming
Habtoor Leighton Group,CHOA CHU KANG CTRL,Li Yinzhu
Dream India Schools,CLEMENTI AVE 6,Li Yiwen
Costa Cruise Lines,COMPASSVALE LANE,Liang Wern Fook
Bioseed,HOUGANG ST 21,Li Yongping
Galgotias University,JURONG EAST ST 21,Li Yujia
Flash Viven Machining Te...,LOR 8 TOA PAYOH,Li Zhongjue
Alysj jv,MARSILING CRES,Liang Bojun
Dun & Bradstreet,NEW UPP CHANGI RD,Liang Ching Ping
Abhijeet Group,PASIR RIS ST 21,Liang Eng Hwa
Meghmani Organics,PETIR RD,Liang Foo Jee
Hcl Infotech,PUNGGOL PL,Lizz Liang Liyi
Wrigley,SERANGOON CTRL,Liang Peng
Suven Life Sciences,TAMPINES ST 23,Liang Ping‏
Pegasystems,YISHUN ST 21,Liang Rongji
MMC Infotech Services,BT BATOK ST 21,Liang Sanbai
Career Point,BOON LAY PL,Liang Xiaoyu
VIT University,CLEMENTI AVE 6,Liang Yue
JNS Instruments,COMPASSVALE LANE,Liao Jiekai
Control Print,PUNGGOL PL,Liao Yingru
R.V.R. PROJECTS,CLEMENTI AVE 6,Liao Yuting
Lincoln Pharmaceuticals,COMPASSVALE LANE,Liau Chia Heng
Synthite Industries,PUNGGOL PL,Liaw Yock Fang
Vardhman Yarns & Threads,CLEMENTI AVE 6,David Lie
Dimension India Network,COMPASSVALE LANE,Lie Kee Pong
IDP Education,PUNGGOL PL,Nicholas Liem
KJS Cement,ANG MO KIO AVE 3,Constance Lien
Leonia Holistic Destinat...,BISHAN ST 23,Laurence Lien Tsung Chern
Corporation Bank,BOON LAY PL,Margaret Lien
Puzzolana Machinery Fabr...,BT BATOK ST 21,Lien Shih Sheng
MaxCure Hospitals,CHOA CHU KANG CTRL,Lien Ying Chow‏
Jubilant Chemsys,CLEMENTI AVE 6,Andy Liew
RAKS Pharma,COMPASSVALE LANE,Clement Liew
InnoEye Technologies,HOUGANG ST 21,Daniel Liew Yao Xiang
KK Spun Pipes,JURONG EAST ST 21,David Liew
Aptus Value Housing Fina...,LOR 8 TOA PAYOH,Liew Kai Khiun
Sona Blw Precision Forgi...,MARSILING CRES,Liew Kung Yu
AISATS,NEW UPP CHANGI RD,Liew Kwai Fei
Vaaman Engineers,PASIR RIS ST 21,Mary Liew Kiah Eng
Laser Power & Infra,PETIR RD,Michael Liew Kok Pun
Dayal Fertilizers,PUNGGOL WALK,Al Lim
Aditya Birla Idea Paymen...,SERANGOON AVE 4,Lim An-Ling
Prione Business Services,TAMPINES ST 23,Liew Mun Leong
Apsara Silks,YISHUN ST 21,Sonny Liew
City Union Bank,CLEMENTI AVE 6,Liew Wee Mee
Nous Infosystems,COMPASSVALE LANE,Liew Yuen Sien
ASM Technologies,NEW UPP CHANGI RD,Lily Othman
Asia Motor Works,PUNGGOL WALK,Lily Zubaidah Rahim
DBOI Global Services,COMPASSVALE LANE,Adrian Lim
Infiniti Research,PUNGGOL WALK,Andrew Lim
Jay Ushin,COMPASSVALE LANE,Andy Lim
Atul Auto,PUNGGOL WALK,Arthur Lim
Invesco,COMPASSVALE LANE,Arthur Lim Beng Lock
Chettinad Cements,PUNGGOL WALK,Benjamin Lim Yi
UTC Aerospace Systems,ANG MO KIO AVE 3,Benny Lim
Geo Chem Laboratories,BEDOK NTH ST 1,Lim Biow Chuan
CL Educate,BIDADARI PK DR,Lim Bo Seng
Jockey,BISHAN ST 23,Lim Bo Yam
Pole To Win,BOON LAY PL,Lim Bong Soo
2COMS,BT BATOK ST 21,Lim Boon Heng
Pearl Polymers,CHOA CHU KANG CTRL,Lim Boon Keng
Vivimed Labs,CLEMENTI AVE 6,Lim Boon Tan
Manipal Technologies,COMPASSVALE DR,Lim Boon Wee
CompuCom,HOUGANG ST 21,Lim Chin Huat
Jayashree Polymers,JURONG EAST ST 21,Lim Buan Chay
DelEx Cargo,LOR 8 TOA PAYOH,Mrs Carmee Lim
URS Scott Wilson India,MARSILING CRES,Casey Lim
Gates,PASIR RIS ST 21,Catherine Lim
Case New-Holland Constru...,PETIR RD,Charles Lim Yi Yong
Yokohama,PUNGGOL WALK,Charlie Lim
Filatex India,SERANGOON AVE 4,Lim Chee Onn
Magma HDI General Insura...,TAMPINES ST 23,Lim Chee Then
Gulf Spic General Tradin...,YISHUN ST 21,Lim Chen Sian
Crossword Bookstores,BOON LAY PL,Lim Cheng Hoe
NuvoEx,BIDADARI PK DR,Lim Cheng Hong
Vem Technologies,BISHAN ST 23,Lim Cheng Lock
APL Apollo Tubes,COMPASSVALE DR,Lim Cheng Tju
D.p. Jain & Co. Infrastr...,PASIR RIS ST 21,Cherie Lim
Hector Beverages,PUNGGOL WALK,Lim Chin Beng
World Vision,BIDADARI PK DR,Lim Chin Joo
Walplast Products,COMPASSVALE DR,Lim Chin Siong
Rosenberger Electronic,PUNGGOL WALK,Lim Chong Beng
Hinduja Housing Finance,BIDADARI PK DR,Lim Chong Eu
Salini Impregilo,COMPASSVALE DR,Lim Chong Keat
Sri Aurobindo Society,BIDADARI PK DR,Lim Chong Kuo
SKH Y-TEC,ANG MO KIO AVE 3,Lim Chong Pang
Max Super Speciality Hos...,BEDOK NTH ST 1,Lim Chong Yah
Unity Infraprojects,BISHAN ST 23,Lim Choon Huat
InfoService,BIDADARI PK DR,Lim Choon Jin
McAfee,BOON LAY PL,Lim Chor Pee
Visteon Automotive Syste...,BT BATOK ST 21,Lim Chuan Geok
Doshion,CHOA CHU KANG CTRL,Lim Chuan Poh
Sharp Business Systems I...,COMPASSVALE LANE,Lim Chwee Chian
Aker Solutions,JURONG EAST ST 21,Lim Chye Heng
United Telecoms,LOR 8 TOA PAYOH,Clara Lim
Eli Lilly and Company,MARSILING CRES,Cyprian Lim
Mahindra Retail,PASIR RIS ST 21,Daisy Lim Quee Hong
Hyderabad Industries,PETIR RD,Danielle Lim
Oriflame,PUNGGOL WALK,Darius Lim
NSL TEXTILES HYDERABAD,SERANGOON AVE 4,Darren Lim
Fluentgrid,TAMPINES ST 23,Daryl Lim Wei Jie
INOX Air Products,YISHUN ST 21,David Lim Chee Wai
G.M.Pens International,BIDADARI PK DR,David Lim Fong Jock
LanceSoft,COMPASSVALE LANE,David Lim Kim San
Allianz,PUNGGOL WALK,David Lim
J.M Baxi & Co,BIDADARI PK DR,David Lim Tik En
COMSTAR AUTOMOTIVE TECHN...,COMPASSVALE LANE,David Lim Tin Kiang
Unique Engineers,PUNGGOL WALK,Denise Lim
Speciality Restaurants,BIDADARI PK DR,Dennis Lim
Kaleesuwari Refinery,PUNGGOL WALK,Denon Lim Denan
Precision Camshafts,ANG MO KIO AVE 3,Desmond Lim Bak Chuan
Sysinformation Healthcar...,BEDOK NTH ST 1,Diana Lim
Sathavahana Ispat,BISHAN ST 23,Dominic Lim Zhong
Ascent Business Solution...,BOON LAY PL,Lim Ean Ean
Macmillan Publishers,BT BATOK ST 21,Edmund Lim
Advaith Motors,CHOA CHU KANG CTRL,Emily Lim
Olive Bar & Kitchen,JURONG EAST ST 21,Ena Lim Guat Kheng
Hexagon Nutrition,LOR 8 TOA PAYOH,Eng-How Lim
Impresario Entertainment...,MARSILING LANE,Lim Ewe Hin
OEN India,PASIR RIS ST 21,Lim Fei Shen
Konica Minolta Business ...,PETIR RD,George Lim Teong Jin
Sigma Supply Chain Solut...,SERANGOON AVE 4,Gerrie Lim
Star Hospitals,TAMPINES ST 23,Gloria Lim
CTDI,YISHUN ST 21,Lim Guan Hoo
Emami Paper Mills,BIDADARI PK DR,H. H. Lim
Sumitomo Chemical,NEW UPP CHANGI RD,Lim Hai Yen
Honour Lab,BIDADARI PK DR,Lim Hak Tai
Aamby Valley City,BIDADARI PK DR,Sir Lim Han Hoe
Secure Value,ANG MO KIO AVE 1,Hazel Lim
Princess Cruises,BEDOK NTH ST 1,Lim Heem Wei
Ajax Fiori Engineering,BIDADARI PK DR,Lim Huan Boon
Wellspring Healthcare,BISHAN ST 23,Henry Lim (1925-2012)
VIVO Healthcare,BOON LAY PL,Herbie Lim Eng Kwan
FCS Software Solutions,BT BATOK ST 21,Lim Hng Kiang
AT&T,CHOA CHU KANG CTRL,Lim Ho Hup
Aris Global Software,COMPASSVALE DR,Lim Ho Puah
Galax E Solutions,JURONG EAST ST 21,Lim Hock
The Professional Courier...,LOR 8 TOA PAYOH,Lim Hock Ann
Binani Cement,MARSILING LANE,Lim Hock Chee
Indus Net Technologies,PASIR RIS ST 21,Lim Hock Koon
Jindal Group Of Companie...,PETIR RD,Lim Hock San
Supreme Infrastructure,SERANGOON AVE 4,Lim Hock Siew
Progressive Infovision,TAMPINES ST 23,Lim Hock Yu
Indo Rama Synthetics (i),YISHUN ST 21,Lim Hong Bee
IIT Madras,BIDADARI PK DR,Lim Hong Eng
Konecranes,BEDOK CTRL,Lim How Seng
Doordarshan,COMPASSVALE DR,Lim How Teck
Isolux Corsan,JURONG EAST ST 21,Lim Hua Choon
Spear Logistics,BIDADARI PK DR,Jovian Lim
Rajdeep Buildcon,COMPASSVALE DR,Lim Huan Chiang
Accutest Research Labora...,BIDADARI PK DR,Lim Hwee Hua
Personiv,COMPASSVALE DR,Lim Hwee Tiong
NIELIT,ANG MO KIO AVE 1,Irene Lim
RV Solutions,BEDOK NTH ST 1,Irene Lim (1927- )
Andromeda Sales And Dist...,BISHAN ST 23,Jamus Lim
Chiripal Industries,BIDADARI PK DR,Janet Lim
Igarashi Motors,BOON LAY AVE,Janet Lim Yuen Kheng
Zf Wind Power,BT BATOK ST 21,Jason Lim
Faiveley Transport,CHOA CHU KANG CTRL,Jay Lim
Lifelong India,COMPASSVALE DR,Jeffrey Lim Sui Yin
Paradeep Phosphates,JURONG EAST ST 21,Lim Jen Erh
Buzzworks Business Servi...,LOR 8 TOA PAYOH,Jerome Lim
Thyssenkrupp Industrial ...,MARSILING LANE,Jerry Lim Kian Tho
Snowman Logistics,PASIR RIS ST 21,Jessie Lim
TCI Supply Chain Solutio...,PETIR RD,Jill Lim
Jeena & Company,SERANGOON AVE 4,Jim Lim
Ghatge Patil Industries,TAMPINES ST 23,Lim Jim Koon
Lawrence & Mayo,YISHUN ST 21,Joanna Lim
Oberoi Realty,BOON LAY AVE,John Lim
Insecticides India,COMPASSVALE DR,Jon Lim Sun Hock
Hermes I Tickets,PASIR RIS ST 21,Jonathan Lim
Shriram Automall,BOON LAY AVE,Judy Lim Meng-En
Fossil Group,COMPASSVALE DR,Juliana Patricia Lim
Franciscan Solutions,PASIR RIS ST 21,Lim Kah Beng
Global Indian Internatio...,COMPASSVALE DR,Lim Kah Leong
SRR Projects,COMPASSVALE DR,Lim Kang Kee
UNICEF,ANG MO KIO AVE 1,Karen Lim
Lohia,BEDOK NTH ST 1,Lim Kay Hiong
Hipower Support Center,BISHAN ST 23,Lim Kay Siu
Joannou & Paraskevaides,CIRCUIT RD,Lim Kay Tong
Unibic Foods,BOON LAY AVE,Lim Kean Chye
CRPF,BT BATOK ST 21,Lim Kee Ming
Target Engineering Const...,CHOA CHU KANG CTRL,Kelvin Lim Fun Kit
CG Foods,COMPASSVALE DR,Ken Lim
RS infra Projects,JURONG EAST ST 21,Lim Khiang Wee
Anudip Foundation,LOR 8 TOA PAYOH,Lim Kho Leng
Lalitpur Power Generatio...,MARSILING CRES,Lim Kia Tong
SHYAM METALICS AND ENERG...,PASIR RIS ST 21,Kim Lim
The Oriental Insurance C...,PETIR RD,Lim Kim Boon
Naandi Foundation,SERANGOON AVE 4,Lim Kim Choon
Belstar Investment and F...,SUMANG WALK,Lim Ting Li
Satguru Travels and Tour...,TAMPINES ST 23,Lim Kim San
Sri Gopikrishna Infrastr...,YISHUN ST 21,Lim Kit Siang
Don Bosco Tech Society,BOON LAY AVE,Albert Lim Kok Ann
SONATRACH,COMPASSVALE DR,Lim Kok Boon
Vishal Retail,JURONG EAST ST 21,Lim Kong Chuan
Sterlite Industries,PETIR RD,Lim Kwee Eng
Vodafone South,SUMANG WALK,Lim Kwong Ling
The Indian Hotels Compan...,BOON LAY AVE,Lena Lim U Wen
Luxor Writing Instrument...,COMPASSVALE DR,Lim Leong Geok
Tejas Networks,SUMANG WALK,Lim Leong Seng
SeQuent Scientific,COMPASSVALE DR,Linda Lim
Sun Direct TV,SUMANG WALK,Lisa Lim
Ascent Consulting Servic...,SUMANG WALK,Lim Loh
Blue Cross Laboratories,ANG MO KIO AVE 1,Lim Loh Huat
Securitrans India,BEDOK NTH ST 1,Lydia Lim
Marine Electricals,BISHAN ST 23,Lynette Lim
Triveni Turbines,BT BATOK ST 21,Maggie Lim
Ansal Housing & Construc...,CHOA CHU KANG CTRL,Mary Lim
IKYA,JURONG EAST ST 21,Michael Lim Chun Leng
Bluechip Corporate Inves...,LOR 8 TOA PAYOH,Michelle Lim
RDC Concrete (India),MARSILING CRES,Monica Lim
Sagar Hospital,PASIR RIS ST 21,Moses Lim
SMR Automotive Systems I...,PETIR RD,Lim Mu Hue
Chandan Steel,SERANGOON AVE 4,Lim Nang Seng
360 Realtors,SUMANG WALK,Lim Nee Soon
Olam Agro India,TAMPINES ST 24,Lim Neo Chian
TÜV NORD,TENGAH GDN WALK,Lim Pang Gan
J.K. Helene Curtis,YISHUN ST 21,Patricia Lim Pui Huen
Weavetex Overseas,BOON LAY AVE,Patricia Lim Siat Foong
Vacmet India,BOON LAY AVE,Lim Peifen
Suhail Bahwan Automobile...,BOON LAY AVE,Lim Peng Han
International Paper APPM,BOON LAY AVE,Lim Peng Mau
Kiswok Industries,ANG MO KIO AVE 1,Lim Peng Siang
Arabian Bemco Contractin...,BEDOK CTRL,Perry Lim Cheng Yeow
Allen Solly,BISHAN ST 23,Peter Lim Ah Pin
Seco Tools,BT BATOK ST 21,Peter Lim Eng Hock
Maxop Engineering Co.,CHOA CHU KANG CTRL,Peter H. L. Lim
Brawn Laboratories,JURONG EAST ST 21,Peter Lim Yong Guan
Banaras Hindu University,LOR 8 TOA PAYOH,Philip Lim
Kef Infrastructure India,PASIR RIS ST 21,Prof. Lim Pin
Vision India Services,PETIR RD,Lim Poh Teck
Maxxis Rubber,SERANGOON AVE 4,Dipna Lim-Prasad
Shirdi Sai Electricals,SUMANG WALK,Qinyi Lim
Sovereign Health,TAMPINES ST 24,Raymond Lim Siang Keat
Mars,TENGAH GDN WALK,Richard Lim Cherng Yih
Indian Institute of Scie...,YISHUN ST 21,Richard Lim Chuan Hoe
The Indian Express,BEDOK CTRL,Robert Kho-Seng Lim
Zoho,JURONG EAST ST 21,Rosie Lim Guat Kheng
SRM Technologies Pvt.Ltd,TENGAH GDN WALK,Lim Sek
Tyco Fire & Security,BEDOK CTRL,Lim Seok Hui
Madura Garments,BEDOK CTRL,Lim Ser Yong
Cleartrip,BEDOK CTRL,Lim Sew Yong
Archies,BALAM RD,Lim Shao Bin
DiTech Process Solutions,BEDOK STH AVE 1,Shirley Lim
HFCL,BOON KENG RD,Lim Shue Churn
MeritTrac Services,CHAI CHEE RD,Lim Shujuan
Shriram Fortune Solution...,DOVER CRES,Lim Siah Tong
Gaursons India,EUNOS CRES,Lim Siam Kwee
MSP Steel & Power,GHIM MOH LINK,Lim Siauw Chong
Regalix,HAIG RD,Lim Sioh
Sigma,HAVELOCK RD,Lim Siong Guan
Chemtrols Industries,HOUGANG AVE 3,Lim Sok Bee
NIMS University,JLN MEMBINA,Lim Sokchanli
EQUATE PETROCHEMICAL COM...,JLN TENTERAM,Lim Soo Ban
Invensis Technologies,LOR 7 TOA PAYOH,Lim Soo Gan
TIAA,LOR 3 GEYLANG,Lim Soo Hoon
Jindal India,MARSILING DR,Lim Soo Ngee
ACG Worldwide,QUEEN'S CL,Lim Soo Peng
Government Polytechnic N...,SIN MING RD,Lim Soo Ping
Aparna Enterprises,ST. GEORGE'S RD,Lim Soon Hock
Bimal Auto Agency,TEBAN GDNS RD,Lim Soon Lan
JBS Enterprises,TELOK BLANGAH CRES,Lim Soon Lee
Li & Fung,TIONG BAHRU RD,Suchen Christine Lim
Magnasoft Consulting Ind...,BOON KENG RD,Lim Sun Gee
Eaton Fluid Power,HAVELOCK RD,Lim Sun Sun
AGI Glaspac,JLN TENTERAM,Lim Swee Hia
Mahindra Lifespace Devel...,SIN MING RD,Lim Swee Say
Iol Chemicals & Pharmace...,TEBAN GDNS RD,Sylvia Lim
Muthoot Capital Services,HAVELOCK RD,Lim Tay Boh
Marathon Realty,ANG MO KIO AVE 1,Lim C. C. Tchoyoson
Suburban Diagnostics,BEDOK CTRL,Lim Teck Kim
DSK Toyota,BISHAN ST 23,Lim Teck Pan
Virchow Biotech,BT BATOK EAST AVE 3,Lim Teck Yin
RASI SEEDS,CHOA CHU KANG CTRL,Teresa Lim
Cliantha Research,HOUGANG ST 21,Thea Lim
JK Agri Genetics,JURONG EAST ST 21,Lim Thean Geow
Acme Generics LLP,LOR 8 TOA PAYOH,Lim Thean Soo
PharmEasy,PASIR RIS ST 21,Lim Thian Seng
Him Teknoforge,PETIR RD,Lim Tiap Guan
Dee Vee Projects,SERANGOON AVE 4,Lim Tin Seng
Kazo Fashion,SUMANG LANE,Lim Tiong Ghee
Sanjeev Auto Parts Manuf...,TAMPINES ST 24,Lim Tit Meng
King George's Medical Un...,TENGAH GDN WALK,Lim Tow Seng
Qdegrees Services,YISHUN ST 21,Lim Tow Yong
Tokai Rubber Auto Parts ...,BEDOK CTRL,Lim Tzay Chuen
Virbac Animal Health,PASIR RIS ST 21,Lim Tze Peng
Bonanza Portfolio,SUMANG LANE,Victoria Lim
Teamware Solutions,TENGAH GDN WALK,Vincent Lim Chooi Hin
Binary Semantics,BEDOK CTRL,Walter Lim
Thirdware Solutions,PASIR RIS ST 21,Lim Wee Guan
Goibibo,SUMANG LANE,Lim Wee Kiak
Wave Infratech,TENGAH GDN WALK,William Lim
